,BM1,BMS,OU1,OUM,OUMV,OUMA,BM1,BMS,OU1,OUM,OUMV,OUMA
1,-146.9636032,-150.9683208,-187.2424809,-201.9784502,-208.0515817,-207.1335839,-595.7819332,-593.8740596,-694.6699915,-700.1215096,-698.0472076,-696.7478643
2,-48.5149177,-66.79495295,-134.0296864,-165.9239813,-175.1325532,-174.6664348,-617.0990679,-615.3573769,-703.7657575,-708.4910734,-706.4129599,-705.6819594
3,-151.4811491,-154.6549869,-188.1932053,-202.5468415,-208.238518,-207.2437853,-615.3247092,-613.2766881,-700.7503706,-705.6564658,-703.6313685,-702.9495898
4,-139.0861954,-144.1570079,-182.1695484,-197.6914035,-204.3163244,-203.1663702,-606.0617669,-604.5568006,-698.7860943,-703.7097734,-701.8578151,-701.4495767
5,-122.6444261,-130.2254207,-173.6110725,-191.2110527,-198.8103385,-198.0580243,-623.3467516,-621.4222233,-705.9767502,-710.4041385,-708.3398942,-707.6744649
6,-122.8233058,-129.3452616,-173.3935734,-191.1445705,-198.4412913,-197.6745892,-591.4395166,-592.0046914,-694.4237143,-699.9900106,-698.4094582,-698.0285928
7,-150.8093457,-154.6407681,-189.2869005,-203.4235923,-209.4145063,-208.4560277,-612.27567,-610.5161412,-700.7527279,-705.4518176,-703.3679846,-703.1690234
8,-137.8203887,-142.8878807,-181.2988294,-196.3644885,-203.0319531,-202.1549836,-619.4860707,-617.6051459,-703.4805388,-707.9219678,-705.8520907,-705.7387838
9,-144.8099803,-148.2298945,-183.8945496,-198.4101159,-204.1969248,-203.2315199,-618.9570881,-617.0624228,-701.3781744,-705.9472568,-703.8482466,-703.6584275
10,-90.77479135,-102.7002901,-156.6908973,-179.931128,-188.5470392,-187.7735012,-619.5287245,-617.5743218,-704.6280021,-709.1419238,-707.0772783,-706.9649379
11,-103.287863,-113.4930731,-162.6655907,-183.7950997,-192.0765071,-191.5203754,-606.1679124,-604.5400046,-699.2452345,-704.4942475,-702.4095532,-702.3270603
12,-132.5181407,-137.4275309,-178.1294847,-194.4304731,-201.0751442,-200.0487884,-591.0112152,-590.6492356,-692.8958592,-698.4160113,-696.708729,-696.3943973
13,-146.7627544,-149.9924145,-186.580945,-200.9390861,-206.5973604,-205.6356483,-614.7509339,-612.7142314,-700.5734698,-705.2246999,-703.1737519,-701.5533728
14,-121.0320208,-128.1682744,-171.9578931,-189.556518,-196.9791932,-196.287986,-610.103093,-608.5038239,-699.0181601,-703.8666779,-701.7535774,-699.8082237
15,-150.8410791,-154.194344,-188.1261327,-202.2191784,-207.9787257,-206.9865221,-613.3327667,-611.3632346,-699.7203795,-704.4583792,-702.3828618,-701.970184
16,-27.74323327,-50.95357631,-124.198269,-164.0725384,-170.3895547,-169.2844098,-595.5870546,-595.104461,-695.3465915,-700.7556148,-698.6399113,-697.3548391
17,-147.5569744,-150.9454119,-186.7574961,-201.0712936,-206.8406013,-205.9852973,-610.583738,-608.7416368,-699.7025735,-704.3474755,-702.4177002,-702.0892853
18,-150.0119001,-152.7997226,-189.045119,-203.3075677,-208.7554285,-207.8645031,-580.7902904,-580.3814092,-690.3828242,-696.1164065,-694.2270321,-692.8945771
19,-134.0146663,-138.2528522,-178.5698718,-194.5459216,-200.7169732,-199.9294086,-616.6789939,-614.7276359,-701.6828523,-706.2842866,-704.2183945,-703.2086965
20,-130.0976727,-135.7515209,-175.382867,-191.3526031,-198.2004121,-197.3931261,-615.7800132,-614.0897191,-700.3875505,-705.1951649,-703.1114111,-702.9786135
21,-125.4494757,-131.3590534,-174.3285085,-191.4584259,-198.4039201,-197.7224924,-617.8296766,-615.7863276,-702.8471964,-707.4974571,-705.4881345,-703.8403883
22,-133.2308024,-133.3510217,-179.2695875,-196.1485291,-199.5586344,-198.7286051,-606.4320068,-604.829424,-698.6526526,-703.6128915,-701.5280387,-700.5367319
23,-116.7256136,-122.8130625,-169.4876775,-188.0861393,-195.1990725,-194.250231,-525.7506119,-546.6799235,-685.2807683,-693.141811,-689.0192851,-677.3153106
24,-133.6683076,-139.3382712,-178.752126,-194.8061362,-201.7009516,-200.6819883,-620.1396109,-618.2270134,-703.2601609,-707.9489809,-705.8763172,-705.5512161
