Genus_species,Fanning,PC1A,PC1B,PC1C,PC1D,PC1E,PC1F,PC1G,PC1H,PC1I,PC1J,PC2A,PC2B,PC2C,PC2D,PC2E,PC2F,PC2G,PC2H,PC2I,PC2J
Hygophum_proximum,NonFanning,-0.409308879,-0.395312246,-0.451500226,-0.456592031,-0.424341978,-0.351519896,-0.396858569,-0.436752525,-0.370770835,-0.345621566,-0.064273686,-0.059354449,-0.045996708,-0.053786632,-0.066662054,-0.103247016,-0.104521098,-0.048373757,-0.094965417,-0.121707828
Symbolophorus_evermanni,NonFanning,0.102527261,0.170183414,0.164040072,0.183190311,0.142769647,0.158043158,0.100703285,0.174093969,0.143695397,0.134904692,0.123727987,0.202702953,0.172766222,0.194050081,0.176693594,0.164268011,0.208788346,0.154389129,0.197500476,0.210585434
Notolychnus_valdiviae,NonFanning,-0.235123556,-0.274698389,-0.262688367,-0.297211729,-0.243811723,-0.287743573,-0.278058055,-0.185115986,-0.245995356,-0.229234889,-0.015637961,-0.015572273,-0.014628696,-0.041622416,-0.070724582,-0.025387781,-0.018372418,-0.048248962,0.020363295,-0.036220338
Zenopsis_nebulosa,NonFanning,-0.165749974,-0.192349352,-0.139968301,-0.164506137,-0.166675508,-0.189161178,-0.153564157,-0.116570984,-0.191106498,-0.136256509,-0.056621123,-0.016615254,-0.064394808,-0.053866086,-0.011861506,-0.072986682,-0.065457933,-0.038665322,-0.029794899,-0.0515686
Raniceps_raninus,NonFanning,0.316566729,0.29131338,0.296245145,0.276365738,0.343009904,0.302096421,0.297389849,0.307296479,0.280065117,0.264174896,-0.083005938,-0.058592453,-0.070943455,-0.038007916,-0.037835744,-0.089000012,-0.076267406,-0.04392042,-0.033660335,-0.052515535
Urophycis_chuss,NonFanning,0.100761967,0.083314717,0.043258019,0.071480091,0.032154827,0.049800527,0.062724589,0.063340449,0.044208545,0.050119273,0.01300602,0.024650426,0.044087206,0.011035714,0.001797385,0.011855871,-0.00120837,0.041228552,-0.014980107,-0.003168681
Ciliata_mustela,NonFanning,0.151816639,0.160052606,0.208658235,0.132417721,0.174968282,0.128719423,0.151112906,0.176386213,0.195122488,0.179589733,0.019563965,0.022114251,0.030592346,0.02269145,-0.031641502,0.051575678,-0.005052854,-0.002745879,-0.001400742,0.038481183
Brosme_brosme,NonFanning,0.217677734,0.286716739,0.204705675,0.185895718,0.163984651,0.163396239,0.190341721,0.160758773,0.23230265,0.243549786,0.07358952,0.073293833,0.059731545,0.061843195,0.069688996,0.053725103,0.046118058,0.072128816,0.048621811,0.054259535
Eleginus_nawaga,NonFanning,0.140872199,0.072024038,0.094824018,0.143215622,0.135625443,0.133107272,0.102302883,0.143742642,0.156145055,0.062678804,0.020966838,0.032275321,0.022025959,0.001043281,0.009158187,0.028965662,0.027428483,0.035432291,0.002371549,0.036902086
Eleginus_gracilis,NonFanning,-0.114810657,-0.107002787,-0.105566661,-0.100458456,-0.00574792,-0.131654479,-0.125897602,-0.135310085,-0.137820875,-0.046122288,0.093302345,0.077793236,0.04782186,0.081766685,0.080061247,0.09196607,0.110548764,0.061030746,0.100873957,0.081933411
Pollachius_virens,NonFanning,-0.099381167,-0.137888248,-0.131056283,-0.151750375,-0.08548811,-0.131437457,-0.099048919,-0.119064091,-0.072184065,-0.119299147,0.118259988,0.123772881,0.107346148,0.123865528,0.086241242,0.108034415,0.10725064,0.070444721,0.08317503,0.074663119
Pollachius_pollachius,NonFanning,-0.179258917,-0.14364462,-0.18905424,-0.188842586,-0.092022274,-0.213184283,-0.261197935,-0.228847901,-0.209909756,-0.1134465,-0.025977716,-0.012526026,-0.012307529,-0.02785824,-0.017630609,-0.055534776,-0.082493511,-0.011684351,-0.039248864,-0.03255969
Merlangius_merlangus,NonFanning,-0.193794021,-0.229707091,-0.113958338,-0.161618501,-0.209939362,-0.162130045,-0.188949593,-0.24822688,-0.166415507,-0.18685767,0.040592907,0.030502799,0.073378906,0.011310771,0.023430558,0.030524617,0.045444872,0.011225885,-0.011344585,0.035243234
Arctogadus_glacialis,NonFanning,-0.122500108,-0.178689603,-0.128814638,-0.209606439,-0.212252427,-0.198244013,-0.144871306,-0.166393204,-0.159035558,-0.21204797,0.001795743,0.006775386,0.018764141,-0.007772609,0.001155513,-0.02271065,-0.038785354,0.026286874,-0.034358359,0.017448217
Trachyrincus_scabrus,NonFanning,-0.097974688,-0.068881412,-0.063778894,0.00123864,-0.013976889,-0.062319482,-0.086535273,-0.016660727,-0.068871885,-0.075749603,0.038942187,0.057845944,0.02209307,0.009034108,0.04712753,0.058662071,0.033977802,0.0033065,0.027049745,-0.013426929
Laemonema_longipes,NonFanning,-0.158571432,-0.187376952,-0.145922698,-0.167458944,-0.200444664,-0.082371445,-0.153976988,-0.141370962,-0.087134101,-0.17440022,0.02972562,0.011058617,0.018117796,0.030370915,0.021541844,0.028364491,0.014558923,0.006507035,0.041229714,0.0225952
Mora_moro,NonFanning,-0.27585235,-0.199888101,-0.188953298,-0.200497877,-0.243377408,-0.170952315,-0.248161727,-0.18574342,-0.194348693,-0.195420359,0.028189185,-0.013346992,0.048199511,0.019294491,0.003205009,0.047296553,-0.002548934,0.020151611,0.02240929,0.03466189
