,BM1,BMS,OU1,OUM,OUMV,OUMA,BM1,BMS,OU1,OUM,OUMV,OUMA
37,-41.22871145,-39.05341395,-43.81153767,-44.21353184,-42.5689993,-43.25929674,-157.9408472,-159.5432279,-183.9178874,-182.4217811,-183.1276843,-187.2953254
38,-41.23105206,-39.03649029,-43.95755171,-44.553057,-42.77265457,-43.70034012,-156.7413736,-158.1067981,-183.8337994,-182.0423601,-182.6939324,-186.7489614
39,-41.64027716,-39.50057409,-44.29906962,-44.904299,-43.53002706,-43.77822757,-153.4480877,-154.4330712,-182.6098342,-180.842028,-182.0394645,-186.3027218
40,-40.9721582,-38.7806576,-43.66952411,-44.29434435,-42.55768834,-43.36703786,-157.1666971,-158.4745276,-183.8520741,-182.0893202,-182.7259226,-187.1770991
41,-40.99294311,-38.80113757,-43.68954703,-44.31283011,-42.57209453,-43.38992292,-157.1547076,-158.4672838,-183.8556304,-182.0882735,-182.722614,-187.1611942
42,-41.17324743,-39.00915069,-43.79659142,-44.56303678,-42.99700778,-43.54808964,-157.1185563,-158.2267514,-183.7808758,-182.0180725,-182.8233001,-187.2543898
43,-41.25044605,-39.05568763,-43.98713064,-44.57828523,-42.79466657,-43.73699131,-156.6449912,-158.015898,-183.8167003,-182.0266108,-182.6890164,-186.6803386
44,-41.31921439,-39.12992075,-44.13441331,-44.74544686,-42.99339621,-43.95067304,-155.8062008,-157.1376107,-183.6035473,-181.8395121,-182.6465444,-186.090336
45,-40.97215952,-38.78065899,-43.66952458,-44.29434488,-42.55769283,-43.36703827,-157.1666974,-158.4745277,-183.8520742,-182.0893203,-182.7248023,-187.1770993
46,-40.77339855,-38.581464,-43.52148818,-44.19377282,-42.44031267,-43.18477273,-157.3179979,-158.7055306,-183.9755186,-182.1127849,-182.6155248,-186.7819585
47,-41.05916993,-38.86337355,-43.97928752,-44.57817359,-42.76255753,-43.75819934,-155.6228371,-157.1061981,-183.6324013,-181.784464,-182.4864772,-185.6123426
48,-40.97216083,-38.7806602,-43.66952527,-44.29434563,-42.55769358,-43.36703877,-157.1666974,-158.474528,-183.8520741,-182.0893201,-182.7254066,-187.1770992
49,-41.07783798,-38.88530323,-43.76132764,-44.38181095,-42.66182804,-43.40978614,-156.7874244,-158.0110824,-183.6030295,-181.948579,-182.8061713,-187.1299679
50,-40.97215962,-38.7806591,-43.6695246,-44.2943449,-42.55769284,-43.36704454,-157.1666973,-158.4745276,-183.8520742,-182.0893203,-182.7248023,-187.1770993
51,-41.07516011,-38.88407918,-43.76109844,-44.37438531,-42.66956866,-43.3870485,-156.8177168,-158.069578,-183.5933989,-181.9512625,-182.8228317,-187.1309221
52,-40.51293404,-38.33338536,-43.29767577,-43.89619171,-42.34274579,-42.81366734,-156.8397241,-157.9020837,-183.5534869,-182.2819173,-183.2358027,-187.267209
53,-41.11967997,-38.93043417,-43.75098729,-44.26583745,-42.55838464,-43.33432532,-157.4529853,-158.9855013,-183.8146048,-182.1755837,-182.871778,-187.1821982
54,-40.94722668,-38.76610149,-43.68500788,-44.31549659,-42.70602528,-43.20099056,-156.985656,-158.3110509,-183.5553148,-181.9767999,-182.9343504,-187.2263854
55,-40.97215846,-38.78065784,-43.66952408,-44.29434434,-42.55769232,-43.36704406,-157.1666984,-158.4745292,-183.8520741,-182.0893201,-182.7259226,-187.1770991
56,-40.77339968,-38.58146521,-43.52148856,-44.19377322,-42.44031259,-43.18477303,-157.317999,-158.7055316,-183.9755187,-182.112785,-182.615553,-186.7819586
57,-41.28226827,-39.08342258,-44.20118808,-44.73500053,-42.91158673,-44.04742974,-154.7711426,-156.1829538,-183.2403148,-181.5636176,-182.555161,-185.4983732
58,-41.06903302,-38.87224148,-43.74540874,-44.36410905,-42.59248235,-43.45760628,-156.9186424,-158.1940854,-183.7039341,-181.9862299,-182.744666,-187.1308763
59,-40.77339856,-38.58146402,-43.52148826,-44.19377288,-42.44030949,-43.18489089,-157.3179979,-158.7055304,-183.9755187,-182.1127851,-182.6154431,-186.7819586
60,-41.01092916,-38.82649234,-43.69291105,-44.36837293,-42.6765417,-43.41407363,-157.1582184,-158.3975042,-183.8383118,-182.0770135,-182.7489457,-187.1877181
61,-39.66465222,-37.52051304,-42.9523739,-43.65407362,-42.34723256,-42.01751104,-157.2525275,-158.5104081,-183.5826918,-182.048449,-183.3480036,-187.7305752
62,-40.85040614,-38.69405365,-43.49961975,-44.07471913,-42.58905597,-42.98323883,-156.1243298,-157.1564384,-183.4437575,-181.7731109,-182.6494589,-187.2121778
63,-41.008961,-38.82416506,-43.73290313,-44.36782595,-42.71386977,-43.30827473,-157.0920989,-158.4001369,-183.6412879,-181.9927436,-182.8710876,-187.1483481
64,-41.21822939,-39.05833427,-43.82744848,-44.60600248,-43.06572451,-43.58221956,-157.1026864,-158.1904239,-183.7639802,-181.9998035,-182.842017,-187.2889994
65,-41.08864316,-38.89332421,-44.1056368,-44.6241086,-42.82206943,-43.98455672,-154.2109619,-155.6461063,-183.126882,-181.4320701,-182.4311545,-185.1287166
66,-41.28064257,-39.08425952,-44.21922738,-44.74766151,-42.96213567,-44.02172574,-154.4078789,-155.7577776,-183.0868859,-181.4827754,-182.5855124,-185.4164475
67,-40.30591617,-38.1081799,-43.77526593,-44.19904393,-42.37407021,-43.86392762,-150.1191456,-151.6251768,-181.6941389,-180.4073966,-181.82235,-183.2174388
68,-41.14197459,-38.95239184,-43.83396989,-44.47656465,-42.7396495,-43.56857303,-157.0198067,-158.3175151,-183.8576692,-182.0713818,-182.7215523,-187.0145582
69,-40.74187057,-38.61847247,-43.62693724,-44.51211778,-43.34542313,-43.05173362,-151.190867,-152.0321235,-181.4719756,-180.3245187,-181.7621699,-186.6726787
70,-41.30859878,-39.14300054,-44.25288161,-44.91747947,-43.31277424,-44.18224733,-154.0139999,-155.23016,-183.0006804,-181.3077037,-182.5281889,-185.0737804
71,-41.38403201,-39.18485211,-44.20542732,-44.75211035,-42.92398074,-44.02549101,-155.3300631,-156.7016029,-183.4149957,-181.7099588,-182.6289742,-185.9255992
72,-41.06476057,-38.93378545,-43.64302734,-44.17799441,-42.79308897,-43.06403555,-154.8792107,-155.8320006,-183.0598427,-181.3328801,-182.2912046,-187.0432158
73,-41.56143408,-39.37957229,-44.07817709,-44.72385914,-43.10554866,-43.75522775,-155.0758134,-156.4774408,-182.8286764,-181.4801135,-182.9917053,-187.0693892
74,-41.23920238,-39.04844255,-43.95163425,-44.58053874,-42.82834068,-43.70542356,-156.7900362,-158.1094365,-183.8346976,-182.0435977,-182.7101976,-186.8053869
75,-40.32254616,-38.14383942,-43.14731,-43.82079741,-42.21863143,-42.6851455,-157.2979215,-158.5358875,-183.8578962,-182.2115175,-182.9063523,-186.9068175
76,-41.17765232,-38.98060087,-43.84272535,-44.45060753,-42.66649654,-43.56510465,-156.7957341,-158.0849847,-183.702249,-181.9711559,-182.7364291,-187.0332148
77,-41.22871136,-39.05341384,-43.81153747,-44.21353165,-42.56899872,-43.25929655,-157.9408472,-159.543228,-183.9178872,-182.4217809,-183.1276841,-187.2930145
78,-40.63678424,-38.45183738,-43.37943794,-43.99536062,-42.37716503,-42.95950559,-156.8346264,-157.951173,-183.5668769,-182.147215,-183.0442242,-187.2764809
79,-41.07772333,-38.88202522,-43.73679133,-44.31537995,-42.55750999,-43.41221364,-157.1559646,-158.5551102,-183.779734,-182.0646959,-182.7619024,-187.1489079
80,-41.21822939,-39.05833395,-43.82744893,-44.60600296,-43.06572763,-43.58221993,-157.1026864,-158.190424,-183.7639802,-181.9998035,-182.8413364,-187.2889995
81,-40.9721597,-38.78065901,-43.66952504,-44.29434538,-42.55769331,-43.36703865,-157.1666974,-158.4745279,-183.8520742,-182.0893203,-182.7248023,-187.1770994
82,-41.39144265,-39.19876982,-44.05809901,-44.54268948,-42.78863085,-43.69599499,-156.9646791,-158.5523361,-183.7865948,-182.1130169,-182.8359292,-186.7227347
83,-40.77339981,-38.58146535,-43.52148864,-44.1937733,-42.44030631,-43.18489119,-157.317998,-158.7055304,-183.9755187,-182.1127851,-182.6155531,-186.7819587
84,-40.67961125,-38.49461283,-43.41542886,-44.05083994,-42.3936778,-43.04870064,-157.194726,-158.419328,-183.7782459,-182.1366148,-182.8404467,-187.3164167
85,-41.15030536,-38.95656671,-43.85483485,-44.46285733,-42.69503316,-43.58069086,-156.9724336,-158.3190665,-183.8627333,-182.0730683,-182.7052785,-186.9602744
86,-41.08759334,-38.89151131,-43.75340482,-44.3685748,-42.60095491,-43.46263647,-156.862434,-158.131213,-183.6889286,-181.9769677,-182.7462229,-187.1267815
87,-40.71184202,-38.52293872,-43.47554172,-44.20483573,-42.46114497,-43.13459538,-157.3476138,-158.7255023,-184.025621,-182.1071788,-182.5602386,-186.551563
88,-40.99381066,-38.80643784,-43.68258396,-44.33875434,-42.62847847,-43.39516206,-157.1617474,-158.4271405,-183.8442949,-182.082521,-182.7392773,-187.1787937
89,-41.05379431,-38.85910484,-44.15263925,-44.62223279,-42.83151202,-44.11693047,-151.9546962,-153.3583748,-182.3378665,-180.9235013,-182.2871141,-184.3036039
90,-40.97215955,-38.78065886,-43.66952499,-44.29434532,-42.55769324,-43.36704483,-157.1666974,-158.4745279,-183.8520742,-182.0893203,-182.7259227,-187.1770994
91,-40.30343923,-38.14557482,-43.33030553,-44.0470597,-42.63673797,-42.60495694,-157.2117411,-158.4976209,-183.5722348,-182.0295556,-183.2003651,-187.5169885
92,-41.05894035,-38.8624192,-43.73949622,-44.35699927,-42.5887266,-43.44669039,-156.9802874,-158.2749885,-183.7226524,-182.0005831,-182.7439367,-187.1347142
93,-41.22871015,-39.05341253,-43.8115372,-44.21353132,-42.56899961,-43.25929635,-157.9408471,-159.5432279,-183.9178874,-182.421781,-183.1276842,-187.2953253
94,-36.14831176,-34.07593101,-40.74515252,-41.26875427,-40.3306291,-39.07029396,-156.8894606,-157.9917517,-183.4407166,-182.1473634,-183.8222471,-188.3368514
95,-41.06903179,-38.87224019,-43.74540839,-44.36410866,-42.59248406,-43.45753057,-156.9186423,-158.1940855,-183.7039341,-181.9862299,-182.7442811,-187.1308763
96,-40.97604218,-38.78165823,-43.73597858,-44.38805691,-42.59963843,-43.43225647,-157.0675278,-158.4982367,-183.9786667,-182.0933189,-182.5935619,-186.5626626
97,-41.01092921,-38.82649239,-43.69291105,-44.3683729,-42.67654585,-43.41403322,-157.1582185,-158.3975043,-183.8383119,-182.0770135,-182.7489457,-187.1877181
98,-41.09084374,-38.89472314,-43.75651491,-44.3714527,-42.60319027,-43.46583977,-156.8607352,-158.1302794,-183.68955,-181.976752,-182.7480548,-187.1245785
99,-41.21822922,-39.0583338,-43.82744897,-44.60600298,-43.065725,-43.58221996,-157.1026863,-158.1904238,-183.7639802,-181.9998035,-182.842017,-187.2889995
100,-40.7775597,-38.63934251,-43.46047674,-44.24609052,-42.86358845,-43.10168842,-157.0802755,-158.0227313,-183.6463931,-182.1322611,-183.1168285,-187.4441007
,-40.9290649,-38.74741429,-43.72286495,-44.32640672,-42.64700217,-43.38269095,-155.9965896,-157.3101092,-183.4356134,-181.8078712,-182.6553403,-186.6488485
