Genus_species,Fanning,PC1,PC2
Neogobius_fluviatilis,Fanning,0.13859234,-0.057472296
Badis_badis,Fanning,0.054952092,0.170979999
Istiophorus_platypterus,NonFanning,-0.362366752,-0.031487097
Coryphaena_hippurus,NonFanning,-0.213878981,-0.04687321
Decapterus_punctatus,NonFanning,-0.232800869,0.01123962
Trachurus_declivis,NonFanning,-0.331626589,-0.030350585
Alectis_ciliaris,NonFanning,-0.361931714,-0.068454744
Selene_peruviana,NonFanning,-0.353124375,-0.090957951
Carangoides_bartholomaei,NonFanning,-0.283365026,-0.105226893
Caranx_caballus,NonFanning,-0.41358612,-0.076475288
Hippoglossoides_platessoides,NonFanning,0.229766849,-0.012642713
Parophrys_vetulus,NonFanning,-0.149257272,0.018465435
Limanda_proboscidea,NonFanning,0.240322704,-0.012479785
Syacium_papillosum,NonFanning,0.100470776,0.070376496
Hypsypops_rubicundus,Fanning,0.148490716,0.032738457
Dascyllus_aruanus,Fanning,-0.025562378,-0.056561172
Dascyllus_marginatus,Fanning,0.188122241,0.026136854
Chromis_dispilus,Fanning,0.021271528,0.015608819
Chromis_chromis,Fanning,0.115992056,0.062546623
Premnas_biaculeatus,Fanning,0.325041885,-0.017449512
Amphiprion_ocellaris,Fanning,0.376023397,0.042705739
Amphiprion_percula,Fanning,0.389775752,-0.020664184
Amphiprion_melanopus,Fanning,0.204126762,0.019230449
Amphiprion_clarkii,Fanning,0.235758266,0.013792253
Amphiprion_sebae,Fanning,0.242886055,-0.031007951
Gobiesox_strumosus,Fanning,0.173437804,-0.001787873
Forsterygion_capito,Fanning,0.095897385,-0.154695005
Ruanoho_decemdigitatus,Fanning,0.327684229,-0.057398302
Parablennius_sanguinolentus,Fanning,0.158351085,-0.003898491
Polycentrus_schomburgkii,Fanning,0.135848112,0.090503028
Etroplus_maculatus,Fanning,-0.139731873,0.050930784
Bujurquina_vittata,Fanning,0.076277289,0.003510537
Symphysodon_aequifasciatus,Fanning,0.015345221,0.017843582
Rocio_octofasciata,Fanning,0.218055267,0.031092647
Archocentrus_multispinosus,Fanning,0.073618442,0.097568867
Paraneetroplus_maculicauda,Fanning,0.008347847,0.018224805
Hemichromis_bimaculatus,Fanning,0.154750545,0.07340364
Tilapia_zillii,Fanning,-0.162674466,0.064195554
Pelmatolapia_mariae,Fanning,-0.241817405,0.006221428
Tylosurus_acus_acus,NonFanning,-0.067682329,0.104816597
Strongylura_notata_notata,NonFanning,-0.06791705,0.083796639
Hemiramphus_balao,NonFanning,-0.05592171,0.064054157
Hemiramphus_brasiliensis,NonFanning,-0.212993265,-0.075062852
Cypselurus_comatus,NonFanning,-0.299641541,0.022801588
Adinia_xenica,NonFanning,0.0963975,-0.047687737
Jordanella_floridae,Fanning,0.182692554,0.034689901
