Oxygen,Temperature
227.2892417,20.30838249
217.707151,23.64865843
242.5105676,18.95174264
212.2823624,25.33018391
220.5719415,23.29483155
208.8672356,25.9202148
211.5587087,25.5680328
300.3726605,10.51484941
281.8985352,10.53553931
287.8067474,10.1504457
282.01628,11.3844192
245.820665,17.07312616
209.7657578,25.74677421
214.2607768,24.32911097
223.7637064,22.13346661
240.6963304,19.16743017
229.4123428,19.749521
261.2653508,14.41589259
227.1702239,22.0481474
226.1528123,23.28349121
205.600128,27.13726972
205.2235081,27.14980941
220.799044,23.02329606
237.7639532,19.56349258
202.848166,27.52582789
317.0893877,7.620427834
310.4431135,8.503010424
235.0045785,19.9353563
212.8538678,25.02770116
203.7063066,27.58287049
265.0345917,14.3495912
222.8276511,22.69619547
235.3552204,19.84315989
203.5055502,27.62932645
203.4341523,27.64128773
201.895684,28.13654525
293.9714652,11.04924787
290.1615891,11.50542991
288.9139413,11.70937418
245.2063451,18.34454095
211.6415174,25.32187227
209.5285061,26.18204999
214.931115,24.98638962
215.5523251,24.66326956
218.3903181,23.48302798
210.4477105,25.68162917
236.1333035,19.05369712
246.638701,16.91603665
216.0269732,24.81876822
229.5704744,19.91326917
208.7328375,26.0761082
216.7172055,23.82162531
207.9267287,26.47460909
216.6816962,23.90912784
215.6597493,24.80535586
204.3006862,27.45541286
223.4372028,21.69229537
231.7667354,20.52642404
236.9504857,19.31401514
241.969285,17.88966257
228.9726148,21.1291912
276.0721494,12.23299618
284.6624291,12.15426145
293.5565808,10.30717826
212.3634439,25.91392761
237.3697654,17.9929002
225.1115056,21.69842678
236.7007861,19.47037553
258.8274452,14.96345382
207.4462553,26.59136516
209.0633585,26.46933742
205.7723356,27.02594848
210.0984658,25.32220578
216.0233372,24.67129141
217.8678247,23.39505053
240.6277821,18.4747297
228.3949764,21.28510114
199.974933,28.70602482
200.5681028,28.47829174
