"","V1","V2","V3","V4","V5","V6","V7"
"1",1,-72.3421070335161,0.100185235303412,-0.0672015948790244,-417.07724475957,0.00597651926477439,-0.018686299917344
"2",2,-48.7071185106744,0.0648782912660133,-0.0570579019376219,-417.010934567995,0.00540542949015831,-0.0169619072276634
"3",3,-76.1440347500462,0.115515151860969,-0.075911991376155,-417.58736181496,0.006455213350249,-0.0201898452276568
"4",4,-75.061094815598,0.100871080942581,-0.0620278542034008,-417.513109692913,0.00626150787800084,-0.0197656903918494
"5",5,-74.9250619017134,0.0760040602301706,-0.0426802355474501,-417.046787061839,0.00596564725704201,-0.0185993856437577
"6",6,-67.6634299240763,0.0978891121781999,-0.0689471082160052,-416.872275999405,0.00582974384135201,-0.0182375014979872
"7",7,-75.1628360242846,0.108159829815116,-0.0714786347825977,-417.240525450147,0.0060561003099331,-0.019059058079541
"8",8,-71.9430083790978,0.104375985200912,-0.070621395819316,-417.247421661315,0.00602244700199172,-0.0190743050736216
"9",9,-74.6701290395668,0.110652272702281,-0.0725993352889935,-417.590187352526,0.00647418144217761,-0.0202262233664193
"10",10,-49.4820315846995,0.0629476903096074,-0.056576372458058,-416.754330890996,0.00573838456525797,-0.0173290100653062
"11",11,-55.5318590684091,0.0791930864786507,-0.0608597118591431,-417.347436553174,0.00715002734809808,-0.0200363732203461
"12",12,-76.3966553059362,0.113563333980722,-0.0781949360299829,-417.573260485002,0.00641981275352976,-0.0201033354594893
"13",13,-76.7273284097279,0.109583987518089,-0.0681073446271531,-417.485486651906,0.00622875465510848,-0.0196763062867945
"14",14,-77.4519861319567,-0.062415586201047,0.193301275021756,-417.59294824743,0.00663300310006518,-0.0199256881528561
"15",15,-76.414026740636,0.118700994512703,-0.0778827496302087,-417.585628470227,0.00644978372926763,-0.0201778870077602
"16",16,-75.7703078364158,-0.0631262802800929,0.192084479720786,-416.884140299734,0.00604788000180564,-0.0186834482790835
"17",17,-75.5669403929447,0.108791367055955,-0.0714580948153656,-417.529092501048,0.00629237298258256,-0.0198436476427126
"18",18,-75.7372759763178,0.118290629512183,-0.0818912171068964,-417.207095006848,0.00602188710690555,-0.0190189931859345
"19",19,-74.8880562857845,0.10442344420706,-0.0742346031032725,-417.399142080309,0.00607950919675214,-0.0194164343230439
"20",20,-74.8963972727034,0.100927178067034,-0.0672359069125228,-417.580991510245,0.00645317165236059,-0.0201700047433048
"21",21,-71.1012174336403,0.103388060077193,-0.0755617117343228,-416.951351230541,0.00587957536842554,-0.0184347738013066
"22",22,-74.3684165570486,0.101567777096712,-0.0646479096676989,-416.875735392012,0.00592156631609482,-0.0182792150168357
"23",23,-78.4555797225973,0.112666437776071,-0.0777620283878882,-417.546955287706,0.00634692419617809,-0.0199361418035411
"24",24,-75.1215498545457,0.102530219195617,-0.0623748700917858,-417.402034528891,0.00610119568206591,-0.0193736897276247
"25",25,-72.104067822791,0.0939687689613587,-0.058848390128269,-417.589990756698,0.00647349551180158,-0.0202247392071267
"26",26,-71.6771878545863,0.104778248771844,-0.0656447813513171,-417.587450161785,0.0064568875617014,-0.0201933019832478
"27",27,-74.6903429502412,0.11019871134446,-0.0714088603682371,-417.589809156748,0.00647144144813251,-0.0202208437517065
"28",28,-74.9092680575858,0.102817262424436,-0.0680511808778441,-416.957835483718,0.00591128769720424,-0.018406567687638
"29",29,-65.5628104875815,0.0888578104902639,-0.0643830419566262,-416.737511084668,0.00571619493052495,-0.0178322414454869
"30",30,-78.1685894291734,0.115389676173863,-0.0749755810830992,-417.314779019264,0.0060619307500501,-0.0192023610013683
"31",31,-71.2839704967188,0.109141552334578,-0.0716099779561925,-417.137576022922,0.00597485462373047,-0.0188493353086686
"32",32,-73.8815884096079,0.102065873372533,-0.069735443847601,-416.944249520455,0.00590570479936169,-0.0183720792808518
"33",33,-44.1032622778355,0.0523761464250489,-0.0526251603818443,-417.164568417112,0.00607651834985808,-0.0182605640914781
"34",34,-76.0390422120387,0.107279761686051,-0.0689564112196125,-417.559659015923,0.00635818815918732,-0.0199909628747909
"35",35,-72.1935588399393,0.10388186368333,-0.0698735501396021,-417.269386846469,0.00603142573578797,-0.01911808055225
