,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
89,89,-145.0673916,-148.5003971,-185.366439,-200.0946672,-205.8312138,-618.1213272,-616.2193091,-702.5869857,-706.966453,-704.894085
90,90,-104.4886038,-114.2829258,-161.5407175,-181.6297983,-189.816109,-616.3923778,-614.872865,-701.101297,-705.7494275,-703.6162055
91,91,-147.7125921,-150.1188808,-186.4643494,-200.5486018,-205.8578228,-613.2746447,-611.3456595,-699.7529288,-704.5659842,-702.4944064
92,92,-118.8156207,-126.2282125,-169.1630895,-187.2723966,-194.83013,-619.8061439,-617.9135962,-701.9452232,-706.5186213,-704.4435067
93,93,-45.24602129,-64.56138576,-131.6106662,-165.1265498,-174.057607,-617.0462831,-615.0351201,-702.8884029,-707.5530972,-705.4962402
94,94,-147.2316649,-148.4506887,-186.425024,-200.9265608,-205.3271848,-619.3933089,-617.4008103,-701.8859672,-706.3094815,-704.2416044
95,95,-141.38848,-145.9601826,-183.5496826,-198.9596435,-205.3277393,-596.1533295,-594.5770935,-694.6761651,-700.0200428,-697.9347132
96,96,-92.94463175,-103.8397418,-155.9787729,-178.5846614,-187.0184274,-619.7906496,-618.0961858,-703.9574342,-708.4850888,-706.4036498
97,97,-148.6169347,-151.214119,-186.3057264,-200.5475437,-205.7567878,-620.0178157,-618.133018,-701.7904605,-706.2695535,-704.1935221
98,98,43.05618337,5.445978959,-91.86769174,-162.9742186,-163.4992796,-607.0121533,-605.0132769,-700.1484048,-705.3420439,-703.2442027
99,99,-149.1885272,-151.9551405,-187.3094755,-201.3400778,-206.6920365,-618.2301371,-616.3599891,-701.1024293,-705.9126677,-703.817995
100,100,-127.9289941,-134.5330529,-176.0241249,-193.2577754,-200.4815661,-611.9221381,-610.3298236,-700.1317651,-704.9734927,-702.8512395
,,-125.8002415,-132.2720683,-174.8748647,-193.3254536,-199.6426994,-606.0423272,-605.7028852,-699.0965068,-704.1204139,-701.9403412
