,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
62,62,-128.2856354,-126.2214281,-137.2174622,-149.6530874,-149.1626557,-392.5022544,-398.2401326,-452.9627405,-455.4291221,-454.045616
63,63,-125.8309158,-123.7545309,-135.3400793,-148.1282211,-147.8703574,-396.282982,-402.1668184,-453.9159283,-456.2960174,-454.997885
64,64,-124.9586684,-122.94076,-134.0806489,-146.6856824,-146.1012159,-410.345621,-412.6116929,-458.5800499,-460.8419001,-459.1565003
65,65,-125.8802883,-123.8240786,-135.2736937,-147.549905,-147.0549078,-410.0902906,-410.6942511,-458.9820528,-461.0607282,-459.1837075
66,66,-124.889627,-122.8146286,-134.1096253,-146.5932938,-146.2830645,-413.380475,-415.0596039,-459.9089392,-461.9342955,-460.1954746
67,67,-127.6508524,-125.5754744,-137.7781186,-150.1913254,-150.0503022,-371.5341189,-382.528868,-448.1056672,-450.414744,-448.9923545
68,68,-125.604188,-123.5523676,-135.9397745,-148.7913104,-148.3844057,-302.8073702,-341.5530963,-447.2797269,-450.1820461,-446.7341391
69,69,-127.2627464,-125.254586,-136.4166209,-148.6486877,-147.9513217,-402.4025292,-402.9791031,-456.1350203,-458.3275848,-456.4005499
70,70,-125.6206791,-123.5658203,-135.2132836,-147.5655411,-147.1182061,-410.6832534,-412.2198466,-459.2920971,-461.38322,-459.6298483
71,71,-125.6008781,-123.5390402,-134.8188272,-147.2431465,-146.7786308,-411.7346287,-413.260423,-459.3313099,-461.3356921,-459.5875233
72,72,-125.7059847,-123.6762436,-134.8337588,-147.4623429,-146.8400018,-406.4633317,-408.3307382,-457.4484848,-459.6910331,-457.9361476
73,73,-124.7323676,-122.6620502,-134.6572244,-147.4031263,-147.3749842,-385.864022,-394.5533741,-450.7629589,-453.2751075,-452.1329487
74,74,-120.0346531,-118.2234361,-130.8269683,-143.7290929,-142.7649925,-412.74235,-414.0782722,-459.461138,-461.5758548,-459.8110391
75,75,-128.4088869,-126.34959,-136.8863165,-149.2368226,-148.678873,-409.032194,-411.1612747,-458.4263233,-460.6489081,-458.9655108
76,76,-128.914577,-126.8527908,-137.6174602,-149.7505161,-149.2456976,-389.4200654,-397.1601265,-451.8099161,-454.3007253,-453.1080555
77,77,-126.861364,-124.8474142,-135.9226472,-148.394097,-147.7297013,-404.7080597,-406.5765689,-456.754512,-459.0788263,-457.3448691
78,78,-126.5338394,-124.4684293,-135.3739473,-147.7969321,-147.3222018,-409.9641159,-411.6416811,-458.3404407,-460.5086123,-458.765375
79,79,-127.1210741,-125.0610748,-135.8884272,-147.9583267,-147.4315282,-410.5316821,-411.8864034,-458.6226447,-460.7633262,-458.9836085
80,80,-128.5399213,-126.4700955,-137.308282,-149.6679457,-149.2432524,-400.7961236,-404.1182389,-455.5972589,-457.9948264,-456.4177467
