"","V1","V2","V3","V4","V5","V6","V7"
"1",1,-208.051581655779,0.135014393149261,-0.0644512244159028,-700.121509559081,-0.0178139482994051,0.00964149831482785
"2",2,-175.132553180854,0.144339464802022,-0.064528630423592,-708.491073405795,-0.0180326874148388,0.009870521161537
"3",3,-208.238517966036,0.134009711269668,-0.0686253517335331,-705.656465757684,-0.0183405315033358,0.0101533693278373
"4",4,-204.316324395423,0.137324519755917,-0.0619372552380656,-703.709773374171,-0.0177507886660968,0.0100440507567391
"5",5,-198.810338504211,0.141144176818589,-0.0578776533737737,-710.404138516133,-0.0179850853634207,0.0102957311037542
"6",6,-198.441291264338,0.141774531679698,-0.0586947238794944,-699.990010596441,-0.0176187076331907,0.0093108851494461
"7",7,-209.414506280455,0.133984299113527,-0.065347579683139,-705.451817580037,-0.0179689015825334,0.00984166997698311
"8",8,-203.03195309491,0.136229382602226,-0.0610732922243695,-707.921967770328,-0.0179049396669868,0.00990842846517138
"9",9,-204.196924756453,0.133790016247859,-0.0651328212671395,-705.94725684166,-0.0178753473868109,0.0103834146121251
"10",10,-188.547039213691,0.145111704932091,-0.0579080532947394,-709.141923829052,-0.0178977309293514,0.0100467354745425
"11",11,-192.076507115551,0.145224740025256,-0.0576687371641931,-704.494247538825,-0.0182240874272678,0.00970297235649163
"12",12,-201.075144165017,0.139817314922084,-0.0589604624604178,-698.416011279401,-0.0177306804349275,0.00946358760085057
"13",13,-206.597360422132,0.134064805362881,-0.0646117111356853,-705.224699910524,-0.0179740973135184,0.0100585708576695
"14",14,-196.97919324679,0.140620671826135,-0.0579461574293268,-703.866677942287,-0.0178750123363943,0.00998439539704402
"15",15,-207.97872573443,0.133337054128056,-0.0671767262770913,-704.458379179718,-0.018045819597936,0.00986731860472385
"16",16,-170.389554669193,0.143090750290857,-0.0673983975366143,-700.755614849938,-0.0177363452400977,0.00943669058678568
"17",17,-206.840601250269,0.134691939867543,-0.0650781440763451,-704.347475463399,-0.0176532131949052,0.0100556410117997
