Steppingstone sampler:						-188.449863
        No Stones:                  100						-182.797275
        Start It:                   1010001						-188.955333
        It Per Stone:               1000						-178.378966
        Sample Freq:                1						-197.804114
"        Dist:                       Beta(0.400000,1.000000)"						-187.624303
Stone No	Power	N	Stone MLh	Running MLh		-170.582729
0	0.975187	750	-4.297899	-4.297899		-175.42116
1	0.950747	750	-4.29095	-8.588849		-182.445236
2	0.926679	750	-4.156325	-12.745174		-188.883849
3	0.90298	750	-4.080529	-16.825703		-186.889664
4	0.879648	750	-4.115496	-20.941198		-194.137984
5	0.856682	750	-3.994039	-24.935238		-182.722192
6	0.834079	750	-4.025286	-28.960523		-194.225982
7	0.811838	750	-3.996949	-32.957472		-179.033679
8	0.789957	750	-3.867037	-36.824509		-194.400862
9	0.768433	750	-3.780102	-40.604611		-194.630169
10	0.747266	750	-3.762884	-44.367495		-194.935689
11	0.726452	750	-3.682861	-48.050356		-196.364045
12	0.705989	750	-3.657942	-51.708298		-190.249958
13	0.685877	750	-3.523811	-55.232108		-191.675043
14	0.666112	750	-3.633228	-58.865336		-194.14131
15	0.646693	750	-3.491226	-62.356562		-185.184512
16	0.627618	750	-3.431053	-65.787615		-197.882714
17	0.608884	750	-3.371443	-69.159058		-195.217165
18	0.59049	750	-3.286523	-72.445581		-210.821538
19	0.572433	750	-3.21308	-75.658661		-181.116889
20	0.554712	750	-3.158319	-78.81698		-205.684541
21	0.537324	750	-3.111934	-81.928914		-188.336009
22	0.520268	750	-3.097189	-85.026103		-195.421394
23	0.50354	750	-3.086848	-88.112951		-186.259253
24	0.487139	750	-2.993066	-91.106018		-199.446348
25	0.471063	750	-2.892475	-93.998492		-183.268656
26	0.45531	750	-2.966736	-96.965228		-198.838972
27	0.439877	750	-2.838776	-99.804005		-179.526557
28	0.424762	750	-2.791438	-102.595443		-191.599163
29	0.409963	750	-2.718472	-105.313915		-195.82502
30	0.395478	750	-2.721789	-108.035704		-193.475996
31	0.381305	750	-2.645696	-110.6814		-191.617185
32	0.36744	750	-2.568556	-113.249956		-186.877444
33	0.353883	750	-2.563435	-115.81339		-189.974452
34	0.34063	750	-2.576882	-118.390272		-187.578481
35	0.32768	750	-2.379299	-120.769572		-190.549705
36	0.31503	750	-2.450453	-123.220025		-189.250637
37	0.302677	750	-2.469154	-125.689179		-178.531368
38	0.290619	750	-2.407898	-128.097077		-183.907504
39	0.278855	750	-2.245567	-130.342644		-194.292193
40	0.267381	750	-2.184905	-132.52755		-190.342113
41	0.256195	750	-2.199812	-134.727362		-178.815798
42	0.245294	750	-2.149123	-136.876485		-193.318436
43	0.234677	750	-2.10912	-138.985605		-191.821753
44	0.22434	750	-1.951569	-140.937174		-192.56085
45	0.214281	750	-1.963687	-142.900861		-182.014052
46	0.204498	750	-1.942629	-144.84349		-190.558011
47	0.194988	750	-1.907672	-146.751163		-196.433017
48	0.185749	750	-1.837538	-148.588701		-202.169927
49	0.176777	750	-1.821335	-150.410035		-186.187158
50	0.16807	750	-1.759658	-152.169693		-197.080598
51	0.159626	750	-1.712662	-153.882355		-190.335891
52	0.151441	750	-1.626034	-155.508389		-200.468485
53	0.143514	750	-1.612169	-157.120558		-178.283404
54	0.135841	750	-1.541873	-158.662431		-185.486314
55	0.12842	750	-1.51455	-160.176981		-186.194903
56	0.121247	750	-1.482966	-161.659947		-189.772051
57	0.11432	750	-1.4156	-163.075547		-190.475409
58	0.107637	750	-1.36058	-164.436127		-190.46094
59	0.101193	750	-1.331388	-165.767515		-186.413461
60	0.094986	750	-1.267262	-167.034777		-187.077435
61	0.089014	750	-1.258516	-168.293293		-184.514579
62	0.083273	750	-1.21157	-169.504864		-188.979124
63	0.07776	750	-1.149227	-170.654091		-179.92961
64	0.072472	750	-1.130516	-171.784607		-187.817187
65	0.067406	750	-1.091127	-172.875734		-183.882347
66	0.062558	750	-1.04137	-173.917104		-189.768551
67	0.057926	750	-0.989299	-174.906403		-206.751536
68	0.053506	750	-0.928877	-175.835281		-196.713022
69	0.049295	750	-0.939467	-176.774748		-189.949558
70	0.045289	750	-0.86811	-177.642858		-202.584388
71	0.041485	750	-0.846541	-178.489399		-193.264303
72	0.03788	750	-0.78188	-179.271279		-187.853813
73	0.034469	750	-0.763233	-180.034511		-186.973122
74	0.03125	750	-0.736224	-180.770735		-181.218006
75	0.028218	750	-0.685611	-181.456346		-185.76787
76	0.02537	750	-0.651018	-182.107364		-182.444878
77	0.022702	750	-0.626165	-182.733528		-191.803383
78	0.020209	750	-0.611721	-183.345249		-191.518456
79	0.017889	750	-0.590645	-183.935894		-184.154059
80	0.015736	750	-0.515392	-184.451286		-195.242742
81	0.013746	750	-0.490042	-184.941328		-179.392059
82	0.011916	750	-0.442985	-185.384313		-194.67506
83	0.01024	750	-0.397311	-185.781624		-191.202434
84	0.008714	750	-0.385327	-186.166951		-191.29562
85	0.007334	750	-0.34258	-186.509531		-192.96489
86	0.006093	750	-0.315829	-186.82536		-191.550947
87	0.004988	750	-0.289058	-187.114418		-188.316415
88	0.004013	750	-0.249127	-187.363545		-187.207239
89	0.003162	750	-0.225407	-187.588952		-186.000706
90	0.00243	750	-0.195895	-187.784847		-190.113384
91	0.00181	750	-0.163756	-187.948603		-182.943925
92	0.001296	750	-0.141811	-188.090414		-201.64104
93	0.000882	750	-0.121078	-188.211492		-189.6993736
94	0.000559	750	-0.082193	-188.293685		
95	0.00032	750	-0.072053	-188.365738		
96	0.000156	750	-0.043437	-188.409175		
97	0.000057	750	-0.026026	-188.435201		
98	0.00001	750	-0.011752	-188.446953		
99	0	750	-0.00291	-188.449863		
Log marginal likelihood:	-188.449863					
0	0.975187	750	-4.122351	-4.122351		
1	0.950747	750	-4.061193	-8.183544		
2	0.926679	750	-3.998799	-12.182343		
3	0.90298	750	-3.951988	-16.134331		
4	0.879648	750	-3.925272	-20.059603		
5	0.856682	750	-3.890469	-23.950072		
6	0.834079	750	-3.794091	-27.744163		
7	0.811838	750	-3.721693	-31.465856		
8	0.789957	750	-3.654607	-35.120463		
9	0.768433	750	-3.646218	-38.766681		
10	0.747266	750	-3.626593	-42.393273		
11	0.726452	750	-3.64477	-46.038044		
12	0.705989	750	-3.524118	-49.562162		
13	0.685877	750	-3.466369	-53.028531		
14	0.666112	750	-3.39002	-56.41855		
15	0.646693	750	-3.320798	-59.739349		
16	0.627618	750	-3.233131	-62.972479		
17	0.608884	750	-3.275356	-66.247835		
18	0.59049	750	-3.156346	-69.404181		
19	0.572433	750	-3.116399	-72.52058		
20	0.554712	750	-3.048508	-75.569088		
21	0.537324	750	-2.974562	-78.54365		
22	0.520268	750	-2.990111	-81.533761		
23	0.50354	750	-2.974725	-84.508485		
24	0.487139	750	-2.870982	-87.379468		
25	0.471063	750	-2.80568	-90.185148		
26	0.45531	750	-2.768056	-92.953204		
27	0.439877	750	-2.703301	-95.656504		
28	0.424762	750	-2.710533	-98.367037		
29	0.409963	750	-2.620476	-100.987513		
30	0.395478	750	-2.603988	-103.591501		
31	0.381305	750	-2.563038	-106.154539		
32	0.36744	750	-2.480786	-108.635325		
33	0.353883	750	-2.535862	-111.171187		
34	0.34063	750	-2.497914	-113.669101		
35	0.32768	750	-2.296735	-115.965836		
36	0.31503	750	-2.381807	-118.347644		
37	0.302677	750	-2.362337	-120.70998		
38	0.290619	750	-2.232709	-122.942689		
39	0.278855	750	-2.304293	-125.246982		
40	0.267381	750	-2.193899	-127.440882		
41	0.256195	750	-2.197145	-129.638026		
42	0.245294	750	-2.064303	-131.702329		
43	0.234677	750	-2.004214	-133.706544		
44	0.22434	750	-2.009742	-135.716286		
45	0.214281	750	-1.95484	-137.671126		
46	0.204498	750	-1.917227	-139.588353		
47	0.194988	750	-1.870251	-141.458604		
48	0.185749	750	-1.80853	-143.267134		
49	0.176777	750	-1.772957	-145.040091		
50	0.16807	750	-1.686605	-146.726695		
51	0.159626	750	-1.638441	-148.365136		
52	0.151441	750	-1.630321	-149.995457		
53	0.143514	750	-1.579754	-151.575211		
